search URL:,https://patents.google.com/?inventor=ravi+kumar+alluboyina&litigation=NO&oq=ravi+kumar+alluboyina
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-11108638-B1,Health monitoring of automatically deployed and managed network pipelines ,"Robin Systems, Inc.","Ravi Kumar Alluboyina, Sree Nandan Atur, Kapil Upadhayay, Pragash Vijayaragavan",2020-06-08,2020-06-08,2021-08-31,2021-08-31,https://patents.google.com/patent/US11108638B1/en,https://patentimages.storage.googleapis.com/35/7f/84/36c18d175c7ccd/US11108638-20210831-D00000.png
US-10845997-B2,Job manager for deploying a bundled application ,"Robin Systems, Inc.","Ravi Kumar Alluboyina, Tushar Doshi",2018-01-12,2018-01-12,2020-11-24,2020-11-24,https://patents.google.com/patent/US10845997B2/en,https://patentimages.storage.googleapis.com/cd/54/14/8ad2d2f370979d/US10845997-20201124-D00000.png
US-11582168-B2,Fenced clone applications ,"Robin Systems, Inc.","Shravan Kumar Vallala, Ravi Kumar Alluboyina",2018-01-11,2018-01-11,2023-02-14,2023-02-14,https://patents.google.com/patent/US11582168B2/en,https://patentimages.storage.googleapis.com/0a/71/a5/275e4757f36905/US11582168-20230214-D00000.png
US-11748203-B2,Multi-role application orchestration in a distributed storage system ,"Robin Systems, Inc.","Ravi Kumar Alluboyina, Shravan Kumar Vallala, Manjunath Mageswaran, Tushar Doshi",2018-01-11,2018-01-11,2023-09-05,2023-09-05,https://patents.google.com/patent/US11748203B2/en,https://patentimages.storage.googleapis.com/f9/ab/6a/aa3ba76ba512ab/US11748203-20230905-D00000.png
WO-2024123328-A1,Zero touch provisioning of bare metal servers with radio access network software ,"Robin Systems, Inc","Sree Nandan ATUR, Ravi Kumar ALLUBOYINA",2022-12-07,2022-12-07,2024-06-13,,https://patents.google.com/patent/WO2024123328A1/en,
US-2021373868-A1,Automated Deployment And Management Of Network Intensive Applications ,"Robin Systems, Inc.","Ravi Kumar Alluboyina, Sree Nandan Atur, Kapil Upadhayay, Pragash Vijayaragavan",2020-05-29,2020-05-29,2021-12-02,,https://patents.google.com/patent/US20210373868A1/en,https://patentimages.storage.googleapis.com/30/61/96/fe9dc3a601f0eb/US20210373868A1-20211202-D00000.png
US-2024330069-A1,Agentless gitops and custom resources for infrastructure orchestration and management ,"Robin Systems, Inc.","Sree Nandan Atur, Ravi Kumar Alluboyina",2023-03-30,2023-03-30,2024-10-03,,https://patents.google.com/patent/US20240330069A1/en,https://patentimages.storage.googleapis.com/80/fe/f9/7f9ab4c53c15bb/US20240330069A1-20241003-D00000.png
WO-2024118056-A1,Cloud initiated bare metal as a service for on-premises servers ,"Robin Systems, Inc","Sree Nandan ATUR, Ravi Kumar ALLUBOYINA",2022-11-29,2022-11-29,2024-06-06,,https://patents.google.com/patent/WO2024118056A1/en,
WO-2024123338-A1,Application provisioning with active and available inventory ,"Robin Systems, Inc, Robin Software Development Center India Private Limited","Sree Nandan ATUR, Ravi Kumar ALLUBOYINA, Prakash VAGHELA, Ayushi Nikhil PATANI, Dhaval Patel",2022-12-08,2022-12-08,2024-06-13,,https://patents.google.com/patent/WO2024123338A1/en,
WO-2024136837-A1,Optimizing resource scaling ,"Robin Systems, Inc","Sree Nandan ATUR, Ravi Kumar ALLUBOYINA",2022-12-19,2022-12-19,2024-06-27,,https://patents.google.com/patent/WO2024136837A1/en,
WO-2024129100-A1,Optimizing processor unit frequency ,"Robin Systems, Inc","Sree Nandan ATUR, Ravi Kumar ALLUBOYINA",2022-12-16,2022-12-16,2024-06-20,,https://patents.google.com/patent/WO2024129100A1/en,
WO-2024118055-A1,Disk image dump for configuring bare metal servers ,"Robin Systems, Inc.","Sree Nandan ATUR, Ravi Kumar ALLUBOYINA",2022-11-29,2022-11-29,2024-06-06,,https://patents.google.com/patent/WO2024118055A1/en,
WO-2024129098-A1,Implementing an infrastructure management service ,"Robin Systems, Inc","Ravi Kumar ALLUBOYINA, Sree Nandan ATUR, Pragash VIJAYARAGAVAN",2022-12-16,2022-12-16,2024-06-20,,https://patents.google.com/patent/WO2024129098A1/en,
WO-2024129065-A1,Agentless topology analysis ,"Robin Systems, Inc","Ravi Kumar ALLUBOYINA, Sree Nandan ATUR, Stephanie MOREL",2022-12-13,2022-12-13,2024-06-20,,https://patents.google.com/patent/WO2024129065A1/en,
WO-2024151307-A1,Provisioning tasks across a plurality of clusters based on priority and geographic proximity ,"Robin Systems, Inc, Robin Software Development Center India Private Limited","Ravi Kumar ALLUBOYINA, Sree Nandan ATUR, Nikhil GAWADE",2023-01-10,2023-01-10,2024-07-18,,https://patents.google.com/patent/WO2024151307A1/en,
US-12254182-B2,Storage and access of array objects ,"Rakuten Symphony, Inc.",Ravi Kumar Alluboyina,2023-03-15,2023-03-15,2025-03-18,2025-03-18,https://patents.google.com/patent/US12254182B2/en,https://patentimages.storage.googleapis.com/59/e4/a9/c19fd061f409cd/US12254182-20250318-D00000.png
WO-2024123306-A1,Agentless generation of a topology of components in a distributed computing system ,"Robin Systems, Inc","Ravi Kumar ALLUBOYINA, Sree Nandan ATUR, Stephanie MOREL",2022-12-05,2022-12-05,2024-06-13,,https://patents.google.com/patent/WO2024123306A1/en,
WO-2024129095-A1,Application redeployment using active and available inventory ,"Robin Systems, Inc., Robin Software Development Center India Private Limited","Sree Nandan ATUR, Ravi Kumar ALLUBOYINA, Rohit RAHEJA",2022-12-16,2022-12-16,2024-06-20,,https://patents.google.com/patent/WO2024129095A1/en,
WO-2024118045-A1,Continuous container utilization system and method ,"Robin Systems, Inc","Ravi Kumar ALLUBOYINA, Nandan Sree ATUR, Pragash VIJAYARAGAVAN",2022-11-28,2022-11-28,2024-06-06,,https://patents.google.com/patent/WO2024118045A1/en,
WO-2024123305-A1,Agentless active and available inventory discovery ,"Robin Systems, Inc.","Ravi Kumar Alluboyina, Sree Nandan Atur, Stephanie MOREL",2022-12-05,2022-12-05,2024-06-13,,https://patents.google.com/patent/WO2024123305A1/en,
US-2021073062-A1,Performing Root Cause Analysis in a Multi-Role Application ,"Robin Systems, Inc.","Sree Nandan Atur, Ravi Kumar Alluboyina",2019-09-05,2019-09-05,2021-03-11,,https://patents.google.com/patent/US20210073062A1/en,https://patentimages.storage.googleapis.com/81/a8/6e/5f7581473ebac8/US20210073062A1-20210311-D00000.png
WO-2024136852-A1,Network service stitching for cloud native network functions and virtual network functions ,"Robin Systems, Inc., Robin Software Development Center India Private Limited","Ravi Kumar Alluboyina, Sree Nandan Atur, Prakash VAGHELA",2022-12-20,2022-12-20,2024-06-27,,https://patents.google.com/patent/WO2024136852A1/en,
WO-2024123307-A1,Implementing a topology lock for a plurality of dynamically deployed components ,"Robin Systems, Inc","Ravi Kumar ALLUBOYINA, Sree Nandan ATUR, Stephanie MOREL",2022-12-05,2022-12-05,2024-06-13,,https://patents.google.com/patent/WO2024123307A1/en,
WO-2024136838-A1,Predictively addressing hardware component failures ,"Robin Systems, Inc","Sree Nandan ATUR, Ravi Kumar ALLUBOYINA",2022-12-19,2022-12-19,2024-06-27,,https://patents.google.com/patent/WO2024136838A1/en,
WO-2024129097-A1,Cluster consolidation using active and available inventory ,"Robin Systems, Inc, Robin Software Development Center India Private Limited","Sree Nandan ATUR, Ravi Kumar ALLUBOYINA, Rohit RAHEJA",2022-12-16,2022-12-16,2024-06-20,,https://patents.google.com/patent/WO2024129097A1/en,
WO-2024129066-A1,Application deployment based on image fingerprint ,"Robin Systems, Inc, Robin Software Development Center India Private Limited","Ravi Kumar ALLUBOYINA, Prakash VAGHELA, Dhaval Patel",2022-12-13,2022-12-13,2024-06-20,,https://patents.google.com/patent/WO2024129066A1/en,
